product,price,seller,city,quantity,rating
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp105.705,Sajodo Snack & Food,Tasikmalaya,3 rb+ terjual,4.9
Kylafood Seblak Rempah Authentik,Rp10.320,Foodstocks,Jakarta Selatan,1 rb+ terjual,4.9
 Kylafood Seblak karuhun,Rp12.825,Central Seblak Nusantara,Tangerang Selatan,4 rb+ terjual,4.8
SEBLAK INSTAN SAJODO SNACK,Rp22.500,Sajodo Snack & Food,Tasikmalaya,100+ terjual,4.7
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Anggris store,Kab. Bogor,100+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan - Seblak Instan,Rp17.000,the Dhecip,Tangerang Selatan,2rb+ terjual,4.9
3 SEBLAK FREE BASO ACI,Rp90.000,RIKI STORE 97,Kab. Bogor,80+ terjual,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,Rp10.900,hikmah berkah jaya,Jakarta Barat,80+ terjual,4.8
Seblak Instan Pedas Home Made,Rp3.500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,3rb+ terjual,4.9
Seblak pedas kerupuk pedas kiloan 1 kg,Rp34.000,Brother Meat Shop,Depok,100+ terjual,4.7
seblak instant sajodo snak,Rp19.000,Kylafood Jakarta,Jakarta Selatan,1rb+ terjual,4.8
SEBLAK INSTANT TERMURAH,Rp4.450,Rav Jaya Display,Kab. Tangerang,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,BociKakang,Jakarta Selatan,500+ terjual,5.0
Kylafood Seblak Cup,Rp14.000,Kylafood Jakarta,Jakarta Selatan,250+ terjual,5.0
SEBLAK INSTAN MOMMY,Rp13.900,BociKakang,Jakarta Selatan,1rb+ terjual,4.8
"KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI - Taro, 500 gram",Rp14.500,Markas Makaroni,Kab. Bekasi,250+ terjual,4.8
Kylafood Seblak Rempah Autentik,Rp14.000,ivy's-kitchen,Kab. Tangerang,250+ terjual,5.0
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Taro,Rp26.500,pelangi girls naget,Jakarta Timur,250+ terjual,5.0
Krupuk seblak mawar rafael pedas 500gr,Rp23.500,GK_Snack,Kab. Bandung,100+ terjual,4.9
PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,Rp4.280,Markas Makaroni,Kab. Bekasi,750+ terjual,4.7
seblak frozen,Rp11.000,toko bemo,Jakarta Timur,2rb+ terjual,4.9
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,Rp6.000,Kylafood Jakarta,Jakarta Selatan,750+ terjual,4.9
krupuk seblak hah pedas gurih 500gr,Rp26.500,Baso Aci Ayang,Kab. Garut,1rb+ terjual,4.9
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,Rp14.250,Kylafood Jakarta,Jakarta Selatan,500+ terjual,4.9
Kylafood Seblak Rempah Autentik,Rp14.000,Markas Makaroni,Kab. Bekasi,250+ terjual,5.0
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,babykhai,Kab. Bekasi,3rb+ terjual,4.9
Kylafood Seblak Cup,Rp14.000,boisfrozen,Kab. Majalengka,250+ terjual,5.0
krupuk seblak hah pedas gurih 200gr,Rp11.500,DUO BOCIL SNACK,Depok,1rb+ terjual,4.9
seblak rafael / seblak coet / seblak cocol,Rp7.500,ANUM SARI,Tangerang Selatan,250+ terjual,4.8
krupuk lidah campuran seblak dan bakso kuah,Rp20.000,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,ArfaOnlineShop,Tangerang,100+ terjual,4.7
Kerupuk Seblak Kencur Pedas Gurih - Anum Sari - 250 Gram,Rp14.000,Foodstocks,Jakarta Selatan,250+ terjual,4.7
SEBLAK KERING 100gr DUA VARIAN RASA,Rp4.500,SuperSnacksShop,Kab. Bandung,100+ terjual,4.9
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,Rp34.999,snack_it,Tangerang Selatan,100+ terjual,5.0
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Kenal Jaya Bandung,Bandung,1rb+ terjual,4.9
KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,Rp5.750,Markas Makaroni,Kab. Bekasi,250+ terjual,4.9
seblak ceker pedas,Rp8.995,ArfaOnlineShop,Tangerang,4rb+ terjual,4.9
Agen Seblak Mommy,Rp9.999,kylafood,Bandung,100+ terjual,4.8
Krupuk seblak mawar rafael pedas 250gram,Rp12.500,RIKI STORE 97,Kab. Bogor,80+ terjual,4.9
PAKET MIX HEMAT 25 BASO ACI/BOCI/SEBLAK/CUANKI,Rp47.000,Lidigeli,Kab. Garut,10rb+ terjual,4.9
Kylafood Seblak Original,Rp15.750,Indomie Official Store,Tangerang Selatan,40+ terjual,4.4
Kerupuk seblak bantet pedas 75 gr enak renyah,Rp4.500,kylafood,Bandung,100+ terjual,4.9
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000,kylafood,Bandung,5rb+ terjual,4.8
10 Pcs - Indomie HypeAbis Rasa Seblak Hot Jeletot,Rp31.900,Grosir Putra Bdg,Kab. Bandung,10rb+ terjual,4.9
Kylafood Seblak Original,Rp21.375,Grosir Putra Bdg,Kab. Bandung,250+ terjual,4.8
Kylafood Seblak Cup,Rp12.788,kylafood,Bandung,500+ terjual,4.8
seblak / paket seblak bumbu komplit pedas ekonomis,Rp3.300,Grosir Putra Bdg,Kab. Bandung,40+ terjual,4.9
Sebring seblak Rafael bumb pedas gurih daun jeruk 80gr,Rp4.800,Samiraos_ID,Tangerang,1rb+ terjual,4.9
Kylafood Seblak Original Play,Rp21.375,kylafood,Bandung,100+ terjual,4.9
Seblak instant jumbo super pedas,Rp6.500,Indofood Official Store,Tangerang Selatan,11 terjual,5.0
SAMIRAOS - Soun Seblak Geprek,Rp18.050,Indomie Official Store,Tangerang Selatan,750+ terjual,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",Rp86.130,Indofood Official Store,Tangerang Selatan,25 terjual,5.0
4 Pcs - Indomie HypeAbis Rasa Seblak Hot Jeletot,Rp12.268,kylafood,Bandung,100+ terjual,4.5
