product,price,seller,city,quantity,rating
Kylafood Paket (3 Seblak Original 2 Batagor Kuah) ,105705.0,Sajodo Snack & Food,Tasikmalaya,3000,4.9
Kylafood Seblak Rempah Authentik,10320.0,Foodstocks,Jakarta Selatan,1000,4.9
 Kylafood Seblak Karuhun,12825.0,Central Seblak Nusantara,Tangerang Selatan,4000,4.8
Seblak Instan Sajodo Snack,22500.0,Sajodo Snack & Food,Tasikmalaya,100,4.7
Seblak Rafael/Seblak Coet Instan Halal,26600.0,Anggris Store,Kab. Bogor,100,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan - Seblak Instan,17000.0,The Dhecip,Tangerang Selatan,2000,4.9
3 Seblak Free Baso Aci,90000.0,Riki Store 97,Kab. Bogor,80,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,10900.0,Hikmah Berkah Jaya,Jakarta Barat,80,4.8
Seblak Instan Pedas Home Made,3500.0,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,3000,4.9
Seblak Pedas Kerupuk Pedas Kiloan 1 Kg,34000.0,Brother Meat Shop,Depok,100,4.7
Seblak Instant Sajodo Snak,19000.0,Kylafood Jakarta,Jakarta Selatan,1000,4.8
Seblak Instant Termurah,4450.0,Rav Jaya Display,Kab. Tangerang,10000,4.8
"Seblak Rafael, Seblak Coet Instan Halal",25000.0,Bocikakang,Jakarta Selatan,500,5.0
Kylafood Seblak Cup,14000.0,Kylafood Jakarta,Jakarta Selatan,250,5.0
Seblak Instan Mommy,13900.0,Bocikakang,Jakarta Selatan,1000,4.8
"Kerupuk Bawang Aneka Warna Krupuk Seblak Mentah Warna Warni - Taro, 500 Gram",14500.0,Markas Makaroni,Kab. Bekasi,250,4.8
Kylafood Seblak Rempah Autentik,14000.0,Ivy'S-Kitchen,Kab. Tangerang,250,5.0
Kerupuk Seblak Mentah 1Kg Warna Warni - Taro,26500.0,Pelangi Girls Naget,Jakarta Timur,250,5.0
Krupuk Seblak Mawar Rafael Pedas 500Gr,23500.0,Gk_Snack,Kab. Bandung,100,4.9
Promo !!!! Seblak Instan Beli 20 Free 1 Murah Enak,4280.0,Markas Makaroni,Kab. Bekasi,750,4.7
Seblak Frozen,11000.0,Toko Bemo,Jakarta Timur,2000,4.9
Kerupuk Mentah Serba 5000 Bahan Seblak,6000.0,Kylafood Jakarta,Jakarta Selatan,750,4.9
Krupuk Seblak Hah Pedas Gurih 500Gr,26500.0,Baso Aci Ayang,Kab. Garut,1000,4.9
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200Gram,14250.0,Kylafood Jakarta,Jakarta Selatan,500,4.9
Kylafood Seblak Rempah Autentik,14000.0,Markas Makaroni,Kab. Bekasi,250,5.0
Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Babykhai,Kab. Bekasi,3000,4.9
Kylafood Seblak Cup,14000.0,Boisfrozen,Kab. Majalengka,250,5.0
Krupuk Seblak Hah Pedas Gurih 200Gr,11500.0,Duo Bocil Snack,Depok,1000,4.9
Seblak Rafael / Seblak Coet / Seblak Cocol,7500.0,Anum Sari,Tangerang Selatan,250,4.8
Krupuk Lidah Campuran Seblak Dan Bakso Kuah,20000.0,Jajanangarut19,Jakarta Selatan,250,4.9
